Row,userid,mood,activity.daily_routines,activity.emotional,activity.entertainment,activity.intellectual,activity.live_music,activity.music_listening,activity.on_the_move,activity.physical,activity.social
Row 10782,1738,celebratory,1,1,0,0,0,0,0,0,0
Row 10783,1738,cool,0,0,0,0,0,0,0,0,0
Row 10784,1738,deep,0,1,0,1,1,0,0,0,0
Row 10785,1738,delighted,0,0,1,1,1,0,1,1,1
Row 10786,1738,dramatic,,,,,,,,,
Row 10787,1738,elegant,0,1,0,1,1,0,1,0,0
Row 10788,1738,enthusiastic,1,0,1,0,0,0,1,0,1
Row 10789,1738,euphoric,1,1,1,0,0,0,1,1,1
Row 10790,1738,excited,1,0,1,0,0,0,0,0,1
Row 10791,1738,furious,0,1,1,0,1,0,1,0,0
Row 10792,1738,heroic,1,0,1,0,0,0,0,0,1
Row 10793,1738,hot,0,0,1,1,1,0,1,0,0
Row 10794,1738,jumpy,0,1,1,1,0,1,1,1,1
Row 10795,1738,liked,0,1,1,1,0,0,1,0,1
Row 10796,1738,motivational,1,1,1,0,0,0,0,0,0
Row 10797,1738,peaceful,0,0,1,1,1,0,1,0,1
Row 10798,1738,pulsating,1,0,1,0,0,0,1,1,1
Row 10799,1738,reflective,0,1,1,1,0,0,0,0,0
Row 10800,1738,religious,0,0,1,0,1,0,1,0,0
Row 10801,1738,retro,0,0,0,1,0,0,1,1,1
Row 10802,1738,rhythmical,1,1,1,0,0,1,1,0,1
Row 10803,1738,romantic,0,1,0,1,0,0,1,0,0
Row 10804,1738,satisfied,1,1,1,0,0,0,1,0,1
Row 10805,1738,sensual,0,0,1,0,0,0,1,0,0
Row 10806,1738,severe,0,0,1,0,0,0,1,0,0
Row 10807,1738,sexy,1,1,0,0,0,1,1,0,1
Row 10808,1738,smooth,0,1,1,1,0,0,1,0,0
Row 10809,1738,spiritual,1,0,0,1,1,1,0,1,0
Row 10810,1738,strong,1,1,1,0,0,1,0,1,1
Row 10811,1738,successful,0,1,0,1,1,0,1,0,0
Row 10812,1738,tragic,1,0,1,0,1,0,0,1,0
Row 10813,1738,tranquil,1,1,1,0,0,1,1,0,1
Row 10814,1739,adorable,0,0,1,0,0,0,0,0,0
Row 10815,1739,aggressive,0,0,0,0,1,0,0,0,0
Row 10816,1739,amazed,0,0,1,0,0,0,0,0,0
Row 10817,1739,angry,0,0,0,1,0,0,0,0,0
Row 10818,1739,animated,0,0,0,1,0,0,0,0,0
Row 10819,1739,bitchy,0,0,1,0,0,0,0,0,0
Row 10820,1739,bored,0,0,0,0,0,0,0,1,0
Row 10821,1739,celebratory,0,0,0,1,0,0,0,0,0
Row 10822,1739,cool,0,1,0,0,0,0,0,0,0
Row 10823,1739,dancing,0,0,0,0,0,0,0,0,1
Row 10824,1739,deep,0,0,0,0,0,0,0,1,0
Row 10825,1739,delighted,0,0,0,0,1,0,0,0,0
Row 10826,1739,dramatic,0,0,0,1,0,0,0,0,0
Row 10827,1739,dreamy,0,0,0,1,0,0,0,0,0
Row 10828,1739,driving,0,0,0,0,0,0,0,1,0
Row 10829,1739,easy,0,0,0,0,0,0,0,0,1
Row 10830,1739,elegant,0,0,0,0,0,0,0,1,0
Row 10831,1739,emotional,0,0,0,1,0,0,0,0,0
Row 10832,1739,encouraged,0,0,0,0,0,0,0,0,1
Row 10833,1739,energetic,0,0,0,0,0,1,0,0,0
Row 10834,1739,enthusiastic,0,0,0,0,1,0,0,0,0
Row 10835,1739,epic,0,0,0,1,0,0,0,0,0
Row 10836,1739,euphoric,0,0,0,0,0,0,0,1,0
Row 10837,1739,excited,1,0,0,0,0,0,0,0,0
Row 10838,1739,fantastic,0,0,0,0,0,0,1,0,0
Row 10839,1739,fast,1,0,0,0,0,0,0,0,0
Row 10840,1739,festive,0,0,0,1,0,0,0,0,0
Row 10841,1739,free,0,1,0,0,0,0,0,0,0
Row 10842,1739,friendly,0,0,0,0,0,0,0,1,0
Row 10843,1739,fun,1,0,0,0,0,0,0,0,0
Row 10844,1739,funny,0,0,0,0,1,0,0,0,0
Row 10845,1739,furious,1,0,0,0,0,0,0,0,0
Row 10846,1739,gentle,0,0,0,0,0,0,0,0,1
Row 10847,1739,glorious,0,0,1,0,0,0,0,0,0
Row 10848,1739,good,0,0,0,0,0,0,0,1,0
Row 10849,1739,graceful,0,0,0,0,0,0,0,1,0
Row 10850,1739,happy,0,0,1,0,0,0,0,0,0
Row 10851,1739,heroic,0,0,1,0,0,0,0,0,0
Row 10852,1739,hot,0,0,0,0,1,0,0,0,0
Row 10853,1739,in_love,0,0,0,0,0,0,0,0,1
Row 10854,1739,inspired,0,0,1,0,0,0,0,0,0
Row 10855,1739,intense,0,0,1,0,0,0,0,0,0
Row 10856,1739,interested,0,0,0,0,1,0,0,0,0
Row 10857,1739,joyful,0,1,0,0,0,0,0,0,0
Row 10858,1739,jumpy,1,0,0,0,0,0,0,0,0
Row 10859,1739,liberated,1,0,0,0,0,0,0,0,0
Row 10860,1739,light_hearted,0,0,0,0,1,0,0,0,0
Row 10861,1739,liked,0,1,0,0,0,0,0,0,0
Row 10862,1739,loud,0,0,0,1,0,0,0,0,0
Row 10863,1739,melancholic,1,0,0,0,0,0,0,0,0
Row 10864,1739,moody,0,0,0,1,0,0,0,0,0
Row 10865,1739,motivational,1,0,0,0,0,0,0,0,0
Row 10866,1739,nocturnal,0,1,0,0,0,0,0,0,0
Row 10867,1739,passionate,0,0,0,0,0,0,0,1,0
Row 10868,1739,peaceful,1,0,0,0,0,0,0,0,0
Row 10869,1739,playful,0,0,0,1,0,0,0,0,0
Row 10870,1739,pleasant,0,0,0,1,0,0,0,0,0
Row 10871,1739,positive,0,0,0,0,1,0,0,0,0
Row 10872,1739,powerful,0,0,0,0,1,0,0,0,0
Row 10873,1739,pulsating,0,0,0,0,0,0,0,0,1
Row 10874,1739,reflective,0,0,0,0,0,0,0,1,0
Row 10875,1739,relaxed,0,0,0,1,0,0,0,0,0
Row 10876,1739,religious,0,0,0,1,0,0,0,0,0
Row 10877,1739,repetitive,0,0,0,0,0,1,0,0,0
Row 10878,1739,retro,0,1,0,0,0,0,0,0,0
Row 10879,1739,rhythmical,0,0,0,1,0,0,0,0,0
Row 10880,1739,romantic,0,0,1,0,0,0,0,0,0
Row 10881,1739,sad,0,0,0,0,1,0,0,0,0
Row 10882,1739,satisfied,0,0,0,0,0,0,0,0,1
Row 10883,1739,sensual,0,1,0,0,0,0,0,0,0
Row 10884,1739,sentimental,0,0,0,1,0,0,0,0,0
Row 10885,1739,serene,0,1,0,0,0,0,0,0,0
Row 10886,1739,severe,0,0,0,0,0,0,0,0,1
Row 10887,1739,sexual,1,0,0,0,0,0,0,0,0
Row 10888,1739,sexy,0,1,0,0,1,0,0,0,1
Row 10889,1739,slow,0,0,0,1,0,1,0,0,0
Row 10890,1739,smooth,0,1,0,0,0,0,0,0,0
Row 10891,1739,soft,0,1,0,0,0,0,0,0,0
Row 10892,1739,sorry,0,0,0,0,0,0,1,0,0
Row 10893,1739,spiritual,0,1,0,1,0,0,0,0,0
Row 10894,1739,spontaneous,0,0,0,0,0,0,0,1,0
Row 10895,1739,stimulated,0,1,0,0,0,0,0,0,0
Row 10896,1739,strong,0,0,1,0,0,0,0,0,0
Row 10897,1739,stylish,0,0,0,0,0,0,0,0,1
Row 10898,1739,successful,0,0,0,0,1,0,0,0,0
Row 10899,1739,tragic,0,0,0,0,0,0,0,0,1
Row 10900,1739,tranquil,1,0,0,0,0,0,0,0,0
Row 10901,1739,uplifting,0,0,1,0,0,0,0,0,0
Row 10902,1741,aggressive,1,0,0,0,0,0,0,0,0
Row 10903,1741,bitchy,0,0,1,1,0,0,0,0,0
Row 10904,1741,celebratory,0,0,0,0,0,0,0,1,0
Row 10905,1741,delighted,1,0,0,0,0,0,0,0,0
Row 10906,1741,driving,1,0,0,0,0,0,0,0,0
Row 10907,1741,easy,0,1,0,0,0,0,0,0,0
Row 10908,1741,encouraged,0,0,1,0,0,1,0,0,0
Row 10909,1741,energetic,1,0,0,0,0,0,0,0,0
Row 10910,1741,festive,1,0,0,0,1,0,0,0,0
Row 10911,1741,fun,0,0,0,0,0,0,1,0,0
Row 10912,1741,funny,0,0,1,0,0,0,0,0,0
Row 10913,1741,good,0,0,1,0,0,1,0,0,0
Row 10914,1741,graceful,0,0,0,1,0,0,0,0,0
Row 10915,1741,happy,0,0,1,0,0,0,0,0,0
Row 10916,1741,heroic,0,1,0,0,0,0,0,0,0
Row 10917,1741,joyful,0,0,1,0,0,0,0,0,0
Row 10918,1741,liberated,0,0,0,1,0,0,0,0,0
Row 10919,1741,light_hearted,0,0,0,1,0,0,0,0,0
Row 10920,1741,passionate,0,0,0,0,0,0,1,0,0
Row 10921,1741,playful,0,1,0,0,0,0,0,0,0
Row 10922,1741,pleasant,0,0,0,1,0,0,0,0,0
Row 10923,1741,reflective,0,0,1,0,0,1,0,0,0
Row 10924,1741,repetitive,0,0,0,0,0,0,0,1,0
Row 10925,1741,satisfied,0,0,0,0,0,0,1,0,0
Row 10926,1741,sensual,0,0,1,0,0,0,0,0,0
Row 10927,1741,sentimental,0,0,0,0,0,0,0,1,0
Row 10928,1741,serene,1,0,0,0,0,0,0,0,0
Row 10929,1741,severe,0,0,0,0,1,0,0,0,0
Row 10930,1741,slow,0,0,1,0,0,0,0,0,0
Row 10931,1741,smooth,1,0,0,0,0,0,0,0,0
Row 10932,1741,soft,0,1,0,0,0,0,0,0,0
Row 10933,1741,stylish,0,0,0,0,0,0,1,0,0
Row 10934,1741,successful,0,0,0,1,0,0,0,0,0
Row 10935,1741,tragic,0,0,0,0,0,0,1,0,0
Row 10936,1741,tranquil,0,1,0,0,0,0,0,0,0
Row 10937,1741,uplifting,0,0,0,1,0,0,0,0,0
Row 10938,1742,adorable,0,1,0,0,0,0,0,0,0
Row 10939,1744,dramatic,0,0,1,0,0,0,0,0,0
Row 10940,1744,easy,0,1,0,0,0,1,0,0,1
Row 10941,1745,sorry,0,0,0,0,0,0,0,1,0
Row 10942,1747,sentimental,0,1,0,1,0,1,0,0,0
Row 10943,1748,liberated,1,0,0,0,0,0,0,0,0
Row 10944,1749,graceful,1,0,0,0,0,1,0,0,0
Row 10945,1749,romantic,0,0,0,0,0,1,0,0,0
Row 10946,1752,in_love,1,1,0,1,1,1,1,1,1
Row 10947,1753,repetitive,0,0,0,0,0,0,0,0,0
Row 10948,1755,fantastic,1,0,0,0,0,1,0,1,0
Row 10949,1755,stylish,0,0,0,0,0,0,0,0,1
Row 10950,1755,tragic,0,1,0,0,0,0,0,0,0
Row 10951,1756,driving,0,1,1,0,1,1,1,0,0
Row 10952,1756,funny,1,1,1,0,1,1,1,0,0
Row 10953,1756,gentle,0,1,0,1,0,0,0,0,1
Row 10954,1756,sorry,0,0,0,0,0,0,0,0,0
Row 10955,1757,jumpy,0,0,0,0,0,1,0,0,0
Row 10956,1757,melancholic,0,1,0,0,0,1,1,0,0
Row 10957,1757,retro,0,0,0,0,0,0,0,0,1
Row 10958,1757,strong,0,0,0,0,0,0,0,1,0
Row 10959,1758,good,0,0,1,0,0,1,1,1,0
Row 10960,1758,strong,0,1,0,0,1,0,0,1,0
Row 10961,1760,energetic,1,1,0,1,1,0,1,1,0
Row 10962,1760,tranquil,1,1,1,1,1,1,1,1,1
Row 10963,1764,friendly,0,0,0,0,0,0,0,1,0
Row 10964,1764,severe,0,0,0,0,0,0,0,1,0
Row 10965,1764,uplifting,0,0,0,0,1,0,0,0,0
Row 10966,1765,smooth,0,1,0,0,0,1,0,0,0
Row 10967,1767,driving,0,0,0,0,0,0,1,0,0
Row 10968,1767,graceful,0,0,0,0,0,0,0,0,1
Row 10969,1767,melancholic,1,0,0,0,0,0,1,0,0
Row 10970,1767,relaxed,0,1,1,0,0,0,0,0,1
Row 10971,1767,sensual,0,0,0,0,0,0,0,0,1
Row 10972,1768,aggressive,0,1,0,0,0,0,0,0,0
Row 10973,1768,angry,0,1,0,0,0,1,0,0,0
Row 10974,1768,easy,0,0,0,1,0,1,1,0,1
Row 10975,1768,fast,1,0,1,0,1,0,1,1,0
Row 10976,1768,gentle,0,1,0,0,0,1,0,0,1
Row 10977,1768,nocturnal,0,0,0,0,1,0,0,0,1
Row 10978,1768,repetitive,1,0,0,0,0,0,1,0,0
Row 10979,1768,rhythmical,1,0,1,0,1,1,1,1,1
Row 10980,1768,strong,1,0,0,1,1,0,1,1,1
Row 10981,1768,successful,1,0,0,0,1,0,1,1,1
Row 10982,1770,aggressive,0,0,0,0,0,0,0,0,0
Row 10983,1770,celebratory,0,0,0,0,0,0,0,0,1
Row 10984,1770,cool,1,0,0,0,0,1,1,1,0
Row 10985,1770,deep,0,1,0,0,0,0,0,0,0
Row 10986,1770,delighted,0,0,0,0,0,0,0,0,0
Row 10987,1770,emotional,0,1,0,0,0,0,0,0,0
Row 10988,1770,encouraged,0,0,0,0,0,0,1,1,0
Row 10989,1770,enthusiastic,0,1,0,0,0,0,0,0,0
Row 10990,1770,euphoric,0,0,0,0,1,0,0,0,0
Row 10991,1770,fantastic,0,1,0,0,0,0,0,0,0
Row 10992,1770,festive,0,0,0,0,0,0,0,0,1
Row 10993,1770,free,0,0,0,0,0,0,1,0,0
Row 10994,1770,hot,0,0,0,0,0,0,0,0,0
Row 10995,1770,in_love,0,0,0,0,0,0,0,0,0
Row 10996,1770,interested,0,0,0,0,0,0,0,0,0
Row 10997,1770,joyful,0,0,0,0,1,0,1,1,1
Row 10998,1770,light_hearted,0,0,0,0,0,0,0,0,0
Row 10999,1770,melancholic,0,1,0,0,0,0,0,0,0
Row 11000,1770,moody,0,0,0,0,0,0,0,0,0
Row 11001,1770,nocturnal,0,0,0,0,0,0,1,1,0
Row 11002,1770,peaceful,0,1,0,0,0,0,0,0,0
Row 11003,1770,relaxed,0,1,0,0,0,0,0,0,0
Row 11004,1770,religious,0,1,0,0,0,0,0,0,0
Row 11005,1770,romantic,0,0,0,0,0,0,0,0,0
Row 11006,1770,sad,0,0,0,0,0,0,0,0,0
Row 11007,1770,satisfied,0,1,0,0,0,0,0,0,0
Row 11008,1770,sensual,0,0,0,0,0,0,0,1,0
Row 11009,1770,sentimental,0,1,0,0,0,0,0,0,0
Row 11010,1770,serene,0,1,0,0,0,0,0,0,0
Row 11011,1770,severe,0,0,0,0,0,0,0,0,0
Row 11012,1770,slow,0,1,0,0,0,0,0,0,0
Row 11013,1770,smooth,,,,,,,,,
Row 11014,1770,soft,0,1,0,0,0,0,0,0,0
Row 11015,1770,sorry,0,0,0,0,0,0,0,0,0
Row 11016,1770,strong,0,0,0,0,0,0,0,1,0
Row 11017,1770,tranquil,0,1,0,0,0,0,0,0,0
Row 11018,1770,uplifting,0,1,0,0,0,0,0,0,0
Row 11019,1772,happy,1,1,1,1,1,1,1,1,1
Row 11020,1774,animated,,,,,,,,,
Row 11021,1774,emotional,0,1,0,0,0,0,0,0,0
Row 11022,1774,happy,0,1,0,0,0,1,0,0,1
Row 11023,1774,inspired,0,1,0,1,0,0,1,0,0
Row 11024,1774,moody,0,0,0,0,0,0,0,0,0
Row 11025,1774,powerful,0,0,1,0,0,0,0,1,0
Row 11026,1774,relaxed,0,1,0,1,0,1,0,0,0
Row 11027,1774,rhythmical,0,1,1,0,0,1,0,0,0
Row 11028,1774,satisfied,0,1,0,0,0,0,0,0,0
Row 11029,1774,severe,,,,,,,,,
Row 11030,1775,graceful,0,0,0,0,0,0,0,0,1
Row 11031,1775,inspired,0,1,0,0,1,1,1,1,0
Row 11032,1775,spiritual,0,1,0,1,0,0,0,0,0
Row 11033,1776,adorable,,,,,,,,,
Row 11034,1776,cool,0,0,0,0,0,1,0,0,0
Row 11035,1776,dancing,0,1,0,0,0,0,0,0,0
Row 11036,1776,delighted,0,1,0,0,0,0,0,0,0
Row 11037,1776,dramatic,0,1,0,0,0,0,0,0,0
Row 11038,1776,funny,,,,,,,,,
Row 11039,1776,happy,0,0,0,1,0,0,0,0,0
Row 11040,1776,jumpy,0,0,0,0,0,0,0,0,0
Row 11041,1776,liberated,0,0,0,1,0,0,0,0,0
Row 11042,1776,loud,0,0,0,0,1,0,0,0,0
Row 11043,1776,nocturnal,0,0,0,0,0,0,0,0,1
Row 11044,1776,passionate,0,0,0,0,0,0,0,0,0
Row 11045,1776,pleasant,0,0,0,0,0,0,0,1,0
Row 11046,1776,repetitive,0,0,0,0,1,0,0,0,0
Row 11047,1776,sensual,0,1,0,0,0,0,0,0,0
Row 11048,1776,soft,0,0,0,1,0,0,0,0,0
Row 11049,1776,stimulated,0,1,0,0,0,0,0,0,0
Row 11050,1776,uplifting,0,1,0,0,0,0,0,0,0
Row 11051,1778,easy,1,0,1,0,0,0,0,0,1
Row 11052,1778,sorry,0,1,0,0,0,0,0,0,0
Row 11053,1779,driving,1,0,1,0,0,0,1,0,1
Row 11054,1780,intense,0,0,0,0,1,1,0,1,0
Row 11055,1781,sexy,1,0,0,0,0,0,0,0,1
Row 11056,1783,interested,0,0,0,1,1,1,0,0,0
Row 11057,1783,sexual,0,0,0,0,1,0,0,0,0
Row 11058,1784,adorable,0,1,0,0,0,0,0,0,0
Row 11059,1784,amazed,0,0,0,0,0,0,0,0,1
Row 11060,1784,angry,0,0,0,0,1,0,0,0,0
Row 11061,1784,animated,0,0,0,0,0,1,0,0,0
Row 11062,1784,bitchy,0,0,0,0,0,0,0,1,0
Row 11063,1784,dancing,0,1,0,0,0,0,0,0,0
Row 11064,1784,delighted,0,0,1,0,0,0,0,0,0
Row 11065,1784,dramatic,0,0,0,0,0,0,0,1,0
Row 11066,1784,driving,0,0,0,0,0,0,0,1,0
Row 11067,1784,enthusiastic,0,1,0,0,0,0,0,0,0
Row 11068,1784,epic,0,1,0,0,0,0,0,0,0
Row 11069,1784,euphoric,0,0,0,0,0,0,0,1,0
Row 11070,1784,fast,0,0,0,0,0,0,0,1,0
Row 11071,1784,festive,0,0,0,0,1,0,0,0,0
Row 11072,1784,free,0,0,0,0,1,0,0,0,0
Row 11073,1784,fun,1,0,0,0,0,0,0,0,0
Row 11074,1784,furious,0,0,0,0,0,0,0,1,0
Row 11075,1784,gentle,1,0,0,0,0,0,0,0,0
Row 11076,1784,glorious,0,0,1,0,0,0,0,0,0
Row 11077,1784,good,0,0,0,0,1,0,0,0,0
Row 11078,1784,graceful,0,0,0,0,0,0,0,1,0
Row 11079,1784,light_hearted,0,1,0,0,0,0,0,0,0
Row 11080,1784,moody,0,0,0,0,0,0,0,1,0
Row 11081,1784,motivational,,,,,,,,,
Row 11082,1784,positive,0,0,0,0,0,0,0,1,0
Row 11083,1784,powerful,0,0,0,0,1,0,0,0,0
Row 11084,1784,reflective,1,0,0,0,0,0,0,0,0
Row 11085,1784,relaxed,0,1,0,0,0,0,0,0,0
Row 11086,1784,repetitive,0,0,0,1,0,0,0,0,0
Row 11087,1784,romantic,0,0,0,0,0,0,0,1,0
Row 11088,1784,sad,0,0,0,0,0,1,0,0,0
Row 11089,1784,severe,0,0,0,0,0,0,0,1,0
Row 11090,1784,sexual,0,0,0,0,0,0,0,0,1
Row 11091,1784,sexy,0,0,0,0,0,0,0,1,0
Row 11092,1784,slow,0,0,0,0,0,1,0,0,0
Row 11093,1784,spiritual,0,0,0,0,0,0,0,0,1
Row 11094,1784,spontaneous,0,0,0,0,0,0,0,0,1
Row 11095,1784,stimulated,0,0,1,0,0,0,0,0,0
Row 11096,1784,stylish,0,0,0,0,1,0,0,0,0
Row 11097,1784,tragic,1,0,0,0,0,0,0,0,0
Row 11098,1785,in_love,0,0,0,1,0,0,0,0,0
Row 11099,1787,easy,0,0,0,0,0,0,0,0,0
Row 11100,1787,powerful,,,,,,,,,
Row 11101,1787,sentimental,0,1,1,0,0,0,0,0,0
Row 11102,1787,sexual,0,0,0,0,0,0,0,1,0
Row 11103,1788,amazed,0,0,0,0,0,0,0,1,0
Row 11104,1788,dancing,0,0,1,0,1,0,0,0,0
Row 11105,1788,dramatic,0,0,0,0,0,0,1,0,0
Row 11106,1788,excited,0,0,0,0,0,0,1,0,0
Row 11107,1788,fast,0,0,0,0,0,0,1,0,0
Row 11108,1788,furious,0,0,0,0,0,1,1,1,0
Row 11109,1788,hot,0,0,0,0,0,0,1,0,0
Row 11110,1788,pleasant,0,0,0,0,0,0,1,0,0
Row 11111,1788,pulsating,0,0,0,0,0,0,1,0,0
Row 11112,1788,serene,0,0,0,0,0,0,1,0,0
Row 11113,1788,sexual,,,,,,,,,
Row 11114,1788,spontaneous,0,1,0,0,0,0,0,0,0
Row 11115,1790,easy,0,0,0,0,0,0,0,1,0
Row 11116,1790,emotional,0,0,0,0,0,1,0,0,0
Row 11117,1790,energetic,0,0,0,0,0,0,0,0,1
Row 11118,1790,melancholic,0,0,0,0,1,0,0,0,0
Row 11119,1790,romantic,0,1,0,0,0,0,0,0,0
Row 11120,1792,romantic,0,0,0,1,1,0,0,0,1
Row 11121,1794,cool,0,1,0,0,0,0,0,1,0
Row 11122,1794,jumpy,0,0,0,0,1,0,0,0,0
Row 11123,1794,uplifting,0,0,0,0,0,1,0,0,1
Row 11124,1795,peaceful,1,0,0,0,0,0,0,0,0
Row 11125,1795,sad,0,0,1,0,0,0,0,0,0
Row 11126,1797,dramatic,1,1,0,1,0,1,0,0,1
Row 11127,1797,enthusiastic,0,1,0,1,0,1,0,0,1
Row 11128,1797,tranquil,0,0,1,0,0,0,1,0,0
Row 11129,1798,dramatic,0,0,0,0,0,0,0,0,0
Row 11130,1798,gentle,0,0,0,1,0,0,0,0,1
Row 11131,1798,playful,1,1,0,0,1,0,0,0,1
Row 11132,1798,tragic,0,0,0,0,0,1,0,0,0
Row 11133,1799,fantastic,0,1,0,0,0,0,0,0,0
Row 11134,1800,playful,0,1,0,0,1,0,1,0,0
Row 11135,1801,fantastic,0,0,0,0,0,0,0,0,0
Row 11136,1804,friendly,,,,,,,,,
Row 11137,1804,positive,,,,,,,,,
Row 11138,1804,reflective,1,1,0,0,0,0,0,1,0
Row 11139,1804,uplifting,0,1,0,0,1,0,0,0,0
Row 11140,1807,bitchy,0,0,0,0,0,0,0,0,0
Row 11141,1807,celebratory,0,0,0,0,0,0,0,1,0
Row 11142,1807,deep,0,1,0,1,0,1,0,1,0
Row 11143,1807,dreamy,0,1,0,0,0,1,1,0,0
Row 11144,1807,emotional,0,1,0,0,0,1,0,0,0
Row 11145,1807,epic,,,,,,,,,
Row 11146,1807,furious,0,0,1,0,1,0,0,0,0
Row 11147,1807,happy,1,1,0,0,1,1,1,1,1
Row 11148,1807,in_love,0,1,0,0,0,1,0,1,0
Row 11149,1807,motivational,1,1,0,1,0,0,1,0,1
Row 11150,1807,slow,0,1,0,1,0,1,0,0,0
Row 11151,1808,aggressive,0,0,0,0,0,0,1,0,0
Row 11152,1808,animated,0,0,0,0,1,0,0,0,0
Row 11153,1808,bitchy,0,0,0,0,0,0,0,0,0
Row 11154,1808,bored,0,0,0,0,0,0,0,0,0
Row 11155,1808,cool,1,0,0,0,0,0,1,0,0
Row 11156,1808,dancing,0,0,0,0,1,0,0,0,0
Row 11157,1808,deep,0,0,0,0,1,0,0,0,0
Row 11158,1808,delighted,0,0,0,0,0,0,0,0,1
Row 11159,1808,dreamy,0,1,0,0,0,0,0,0,0
Row 11160,1808,easy,0,0,1,0,1,1,1,0,0
Row 11161,1808,elegant,0,0,0,0,0,1,0,0,0
Row 11162,1808,emotional,0,1,0,0,0,0,0,0,0
Row 11163,1808,encouraged,0,0,0,0,0,0,0,1,0
Row 11164,1808,energetic,0,0,0,0,1,0,0,0,0
Row 11165,1808,enthusiastic,0,0,0,0,1,0,0,0,0
Row 11166,1808,epic,0,0,0,0,1,0,0,0,0
Row 11167,1808,euphoric,0,0,0,0,1,0,0,0,0
Row 11168,1808,excited,0,1,0,0,0,0,0,0,0
Row 11169,1808,fantastic,0,0,1,0,0,0,0,0,0
Row 11170,1808,fast,0,0,0,0,0,0,1,0,0
Row 11171,1808,free,1,0,0,0,0,0,0,0,0
Row 11172,1808,friendly,0,0,0,0,0,0,0,0,1
Row 11173,1808,fun,0,0,0,0,0,0,0,0,1
Row 11174,1808,funny,0,0,0,0,0,0,1,0,0
Row 11175,1808,furious,0,0,0,0,0,0,0,0,0
Row 11176,1808,glorious,0,0,0,0,1,0,0,0,0
Row 11177,1808,good,0,0,0,0,0,0,0,0,1
Row 11178,1808,heroic,0,0,0,0,0,0,1,0,0
Row 11179,1808,in_love,0,0,0,0,0,0,0,0,1
Row 11180,1808,inspired,0,0,1,0,0,0,0,0,0
Row 11181,1808,intense,0,0,0,0,0,0,1,0,0
Row 11182,1808,interested,0,0,0,0,0,0,0,0,1
Row 11183,1808,joyful,0,0,1,0,0,1,0,0,0
Row 11184,1808,jumpy,0,0,0,0,1,0,0,0,0
Row 11185,1808,liberated,0,0,0,0,1,0,0,0,0
Row 11186,1808,light_hearted,0,1,0,0,0,0,0,0,0
Row 11187,1808,liked,0,0,0,0,0,1,0,0,0
Row 11188,1808,moody,0,0,0,0,0,1,0,0,0
Row 11189,1808,motivational,0,0,0,0,0,0,1,0,0
Row 11190,1808,nocturnal,1,0,0,0,0,0,0,0,0
Row 11191,1808,peaceful,0,1,0,0,0,0,0,0,0
Row 11192,1808,playful,0,0,0,0,1,0,0,0,0
Row 11193,1808,positive,0,0,0,0,1,0,1,0,1
Row 11194,1808,powerful,0,0,0,0,1,0,0,0,0
Row 11195,1808,pulsating,0,1,0,0,0,0,0,0,0
Row 11196,1808,reflective,0,0,0,0,0,0,0,0,1
Row 11197,1808,relaxed,1,0,0,0,0,1,0,0,0
Row 11198,1808,religious,0,0,0,0,0,1,0,0,0
Row 11199,1808,retro,0,0,0,0,1,0,0,0,0
Row 11200,1808,rhythmical,0,0,0,0,0,1,0,1,0
Row 11201,1808,sad,0,0,0,0,0,1,0,0,0
Row 11202,1808,satisfied,0,0,0,0,0,1,0,0,0
Row 11203,1808,sensual,0,1,0,0,0,0,0,0,0
Row 11204,1808,sentimental,0,0,0,0,0,1,0,0,0
Row 11205,1808,severe,0,0,0,0,0,0,0,0,0
Row 11206,1808,sexual,0,0,0,0,0,0,0,0,1
Row 11207,1808,slow,0,0,0,0,0,1,0,0,0
Row 11208,1808,soft,0,0,0,0,0,1,0,0,0
Row 11209,1808,sorry,0,0,0,0,0,1,0,0,0
Row 11210,1808,spontaneous,0,0,0,0,1,0,0,0,0
Row 11211,1808,stimulated,0,0,0,0,0,0,0,1,0
Row 11212,1808,strong,0,0,0,0,1,0,0,0,0
Row 11213,1808,stylish,0,0,0,0,0,0,0,0,1
Row 11214,1808,successful,0,0,0,0,0,0,0,0,1
Row 11215,1808,tranquil,0,0,0,0,0,1,0,0,0
Row 11216,1808,uplifting,0,0,0,0,0,0,0,0,1
Row 11217,1809,angry,0,0,0,0,0,0,0,0,0
Row 11218,1809,festive,0,0,0,0,1,0,0,0,0
Row 11219,1809,gentle,0,0,0,0,1,0,1,0,0
Row 11220,1809,graceful,0,1,0,0,0,0,0,0,0
Row 11221,1809,in_love,0,1,0,0,0,0,0,0,0
Row 11222,1809,jumpy,0,0,0,0,1,0,0,0,0
Row 11223,1809,pulsating,0,0,0,0,0,0,0,1,0
Row 11224,1809,romantic,0,1,0,0,1,0,1,0,0
Row 11225,1809,soft,0,1,0,0,0,0,0,0,0
Row 11226,1809,tranquil,0,0,0,0,0,1,1,0,0
Row 11227,1811,peaceful,0,1,0,1,0,0,0,0,1
Row 11228,1813,joyful,0,0,0,0,0,0,1,1,1
Row 11229,1813,melancholic,0,1,0,1,0,0,0,0,0
Row 11230,1814,light_hearted,0,0,0,0,0,1,1,0,0
Row 11231,1816,melancholic,0,0,0,0,0,0,0,0,0
Row 11232,1816,nocturnal,1,0,0,1,0,1,0,0,0
Row 11233,1816,sensual,0,1,0,1,1,1,0,0,0
